report_school_year,aggregation_type,School,lea_beds,District,nrc_code,District_Desc,county_code,county_name,nyc_ind,boces_code,boces_name,subgroup_name,enrollment_count,graduation_count,graduation_percentage,regents_diploma_count,regents_diploma_percentage,advanced_regents_diploma_count,advanced_regents_diploma_percentage,ged_count,ged_percentage,dropout_count,dropout_percentage
2018-19,School,ALBANY HIGH SCHOOL,10100010000,ALBANY CITY SCHOOL DISTRICT,3,Urban-Suburban High Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,688,470,0.68,313,0.45,113,0.16,7,0.01,114,0.17
2018-19,School,GREEN TECH HIGH CHARTER SCHOOL,10100860907,GREEN TECH HIGH CHARTER SCHOOL,7,Charters,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,60,54,0.9,43,0.72,9,0.15,0,0,0,0
2018-19,School,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,10100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,7,Charters,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,93,81,0.87,61,0.66,14,0.15,1,0.01,10,0.11
2018-19,School,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,10201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,5,Average Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,56,51,0.91,29,0.52,18,0.32,0,0,3,0.05
2018-19,School,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,10306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,6,Low Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,398,385,0.97,111,0.28,268,0.67,0,0,7,0.02
2018-19,School,RAVENA SENIOR HIGH SCHOOL,10402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,5,Average Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,147,134,0.91,59,0.4,63,0.43,0,0,9,0.06
2018-19,School,COHOES HIGH SCHOOL,10500010000,COHOES CITY SCHOOL DISTRICT,3,Urban-Suburban High Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,133,112,0.84,65,0.49,28,0.21,0,0,13,0.1
2018-19,School,COLONIE CENTRAL HIGH SCHOOL,10601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,5,Average Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,368,340,0.92,118,0.32,205,0.56,0,0,5,0.01
2018-19,School,SHAKER HIGH SCHOOL,10623060000,NORTH COLONIE CSD,6,Low Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,505,472,0.93,146,0.29,321,0.64,0,0,11,0.02
2018-19,School,HEATLY SCHOOL,10701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,3,Urban-Suburban High Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,19,15,0.79,9,0.47,3,0.16,0,0,2,0.11
2018-19,School,GUILDERLAND HIGH SCHOOL,10802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,6,Low Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,345,329,0.95,90,0.26,227,0.66,0,0,5,0.01
2018-19,School,C A BOUTON MIDDLE SCHOOL HIGH SCHOOL,11003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,6,Low Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,95,94,0.99,32,0.34,59,0.62,0,0,1,0.01
2018-19,School,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,11200010000,WATERVLIET CITY SCHOOL DISTRICT,3,Urban-Suburban High Needs,1,ALBANY,0,190,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),All Students,102,80,0.78,53,0.52,23,0.23,0,0,18,0.18
2018-19,School,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,20101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,5,Average Needs,2,ALLEGANY,0,5590,SCHUYLER-STEUBEN-CHEMUNG-TIOGA-ALLEGANY,All Students,48,44,0.92,16,0.33,26,0.54,0,0,1,0.02
2018-19,School,ANDOVER SCHOOL,20601040000,ANDOVER CENTRAL SCHOOL DISTRICT,4,Rural High Needs,2,ALLEGANY,0,490,CATTARAUGUS-ALLEGANY-ERIE-WYOMING,All Students,20,19,0.95,12,0.6,6,0.3,0,0,1,0.05
2018-19,School,GENESEE VALLEY ELEMENTARY SCHOOL,20702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,4,Rural High Needs,2,ALLEGANY,0,490,CATTARAUGUS-ALLEGANY-ERIE-WYOMING,All Students,38,34,0.89,16,0.42,18,0.47,0,0,4,0.11
2018-19,School,BELFAST SCHOOL,20801040000,BELFAST CENTRAL SCHOOL DISTRICT,4,Rural High Needs,2,ALLEGANY,0,490,CATTARAUGUS-ALLEGANY-ERIE-WYOMING,All Students,17,16,0.94,8,0.47,7,0.41,0,0,1,0.06
2018-19,School,CANASERAGA SCHOOL,21102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,4,Rural High Needs,2,ALLEGANY,0,5590,SCHUYLER-STEUBEN-CHEMUNG-TIOGA-ALLEGANY,All Students,17,11,0.65,8,0.47,3,0.18,0,0,4,0.24
